adressNr;street;postalCode;city;country;search;latitude;longitude;errors
41362;Schulstr. 8 b;14482;Potsdam;Deutschland;Schulstr. 8 b, 14482 Potsdam, Deutschland;52.3903129;13.0910878;
41363;i.Bukovcana 26;SK8410;Bratislava;Slowakei;i.Bukovcana 26, SK8410 Bratislava, Slowakei;48.2072805;16.981736;
41364;Am Ihlberg 2 - 4;24109;Kiel;Deutschland;Am Ihlberg 2 - 4, 24109 Kiel, Deutschland;54.30269999999999;10.0473801;
41365;Huggo-Eckner-Str. 21;50829;Köln;Deutschland;Huggo-Eckner-Str. 21, 50829 Köln, Deutschland;50.9759239;6.888219599999999;
41366;`s-Herrenberger Str. 380;46446;Emmerich am Rhein;Deutschland;`s-Herrenberger Str. 380, 46446 Emmerich am Rhein, Deutschland;51.86776;6.247179999999999;
41367;Heinrich-Lanz-Allee 2-4;60437;Frankfurt;Deutschland;Heinrich-Lanz-Allee 2-4, 60437 Frankfurt, Deutschland;50.19087;8.651909999999999;
41368;An der Wirtschaftsstraße 7;23972;Groß Stieten;Deutschland;An der Wirtschaftsstraße 7, 23972 Groß Stieten, Deutschland;53.8123453;11.4473657;
41369;Zur Bahn 24;27259;Wehrbleck;Deutschland;Zur Bahn 24, 27259 Wehrbleck, Deutschland;52.637071;8.6962031;
41370;Anton-Jaumann-Str. 1;86675;Buchdorf;Deutschland;Anton-Jaumann-Str. 1, 86675 Buchdorf, Deutschland;48.7853575;10.8141605;
41371;Annabergstraße 112;45721;Haltern am See;Deutschland;Annabergstraße 112, 45721 Haltern am See, Deutschland;51.7338066;7.169051399999999;
41372;Industriegebiet Scheid 12;56651;Niederzissen;Deutschland;Industriegebiet Scheid 12, 56651 Niederzissen, Deutschland;50.4665662;7.235366200000001;
41373;Gröningstraße 23;48432;Rheine-Mesum;Deutschland;Gröningstraße 23, 48432 Rheine-Mesum, Deutschland;52.2299145;7.488011299999999;
41374;Birkenweg 10;07366;Birkenhügel;Deutschland;Birkenweg 10, 07366 Birkenhügel, Deutschland;50.43;11.7534801;
41375;Daimlerstraße 4;89312;Günzburg;Deutschland;Daimlerstraße 4, 89312 Günzburg, Deutschland;48.47523;10.27553;
41376;Ulmenweg 6;91717;Wassertrüdingen;Deutschland;Ulmenweg 6, 91717 Wassertrüdingen, Deutschland;49.04378;10.58677;
41377;Obere Kaiserswerther Str. 36;47249;Duisburg / Wanheim - Angerhausen;Deutschland;Obere Kaiserswerther Str. 36, 47249 Duisburg / Wanheim - Angerhausen, Deutschland;51.39030899999999;6.7507144;
41378;Am Westhafen 19;44653;Herne;Deutschland;Am Westhafen 19, 44653 Herne, Deutschland;51.54893999999999;7.153639999999999;
41379;Weissacherstr. 96;71522;Backnang;Deutschland;Weissacherstr. 96, 71522 Backnang, Deutschland;48.933159;9.443936700000002;
41380;Hardenstraße 51;20539;Hamburg;Deutschland;Hardenstraße 51, 20539 Hamburg, Deutschland;53.5365014;10.0324701;
41381;Ruhrtalstraße 77;45239;Essen;Deutschland;Ruhrtalstraße 77, 45239 Essen, Deutschland;51.3817857;6.986947;
41382;Bundesstraße 113;52152;Simmerath-Kesternich;Deutschland;Bundesstraße 113, 52152 Simmerath-Kesternich, Deutschland;50.6062577;6.3341559;
41383;Goethestr. 20;59505;Bad Sassendorf;Deutschland;Goethestr. 20, 59505 Bad Sassendorf, Deutschland;51.5847019;8.17604;
41384;Landstrasse 61;52511;Geilenkirchen;Deutschland;Landstrasse 61, 52511 Geilenkirchen, Deutschland;50.98887;6.11912;
41385;Am Fuchsloch 3;04720;Döbeln/Mochau;Deutschland;Am Fuchsloch 3, 04720 Döbeln/Mochau, Deutschland;51.11174;13.1869;
41386;Senefelderstr. 44;51469;Bergisch Gladbach;Deutschland;Senefelderstr. 44, 51469 Bergisch Gladbach, Deutschland;50.9735248;7.1342816;
41387;Winkel 5-7;40764;Langenfeld;Deutschland;Winkel 5-7, 40764 Langenfeld, Deutschland;51.1299686;6.978854699999999;
41388;Waldachsener Weg 26;08451;Crimmitschau;Deutschland;Waldachsener Weg 26, 08451 Crimmitschau, Deutschland;50.82276;12.40947;
41389;Ul. Miodowa 4;56-300;Milicz;Polen;Ul. Miodowa 4, 56-300 Milicz, Polen;51.51269199999999;17.274783;
41390;Zollstraße 19;74535;Mainhardt-Bubenorbis;Deutschland;Zollstraße 19, 74535 Mainhardt-Bubenorbis, Deutschland;49.0846477;9.6158393;
41391;Messenhäuser Straße 18;63128;Dietzenbach;Deutschland;Messenhäuser Straße 18, 63128 Dietzenbach, Deutschland;50.0001764;8.7934703;
41392;Am alten Hochdorfer Weg;67459;Böhl-Iggelheim;Deutschland;Am alten Hochdorfer Weg, 67459 Böhl-Iggelheim, Deutschland;49.3901457;8.292434199999999;
41393;Feldmark 6;44267;Dortmund;Deutschland;Feldmark 6, 44267 Dortmund, Deutschland;51.4443886;7.533851100000001;
41394;Warendorferstr. 129;59302;Oelde;Deutschland;Warendorferstr. 129, 59302 Oelde, Deutschland;51.83929999999999;8.14503;
41395;Bremer Str. 5;59557;Lippstadt;Deutschland;Bremer Str. 5, 59557 Lippstadt, Deutschland;51.65303;8.3521;
41396;Edekastr. 10;68542;Heddesheim;Deutschland;Edekastr. 10, 68542 Heddesheim, Deutschland;49.5060734;8.6274826;
41397;Ettore-Bugatti-Str. 6-14;51149;Köln;Deutschland;Ettore-Bugatti-Str. 6-14, 51149 Köln, Deutschland;50.9092665;7.0550736;
41398;Industriestr. 39;49492;Westerkappeln-Velpe;Deutschland;Industriestr. 39, 49492 Westerkappeln-Velpe, Deutschland;52.2648942;7.8906835;
41399;Weiherweg 11;88454;Unteressendorf;Deutschland;Weiherweg 11, 88454 Unteressendorf, Deutschland;48.00785;9.77024;
41400;Spitzkunnersdorfer Straße 8;02782;Seifhennersdorf;Deutschland;Spitzkunnersdorfer Straße 8, 02782 Seifhennersdorf, Deutschland;50.93404;14.62256;
41401;Prießallee 13;33604;Bielefeld;Deutschland;Prießallee 13, 33604 Bielefeld, Deutschland;52.0113357;8.551227899999999;
41402;Erlenweg 21;39288;Burg;Deutschland;Erlenweg 21, 39288 Burg, Deutschland;52.2543873;11.8904139;
41403;Am Bach 16;48366;Laer;Deutschland;Am Bach 16, 48366 Laer, Deutschland;52.0538174;7.351697700000001;
41404;Max-Born-Straße 23;48529;Nordhorn;Deutschland;Max-Born-Straße 23, 48529 Nordhorn, Deutschland;52.4028489;7.073574199999999;
41405;Wilhelm-Theodor-Römheldstrasse 22;55130;Mainz;Deutschland;Wilhelm-Theodor-Römheldstrasse 22, 55130 Mainz, Deutschland;49.98179;8.291319999999999;
41406;Industriestr. 1;91463;Dietersheim;Deutschland;Industriestr. 1, 91463 Dietersheim, Deutschland;49.5579361;10.5424514;
41407;Tanowska 16A;72-010;Police;Polen;Tanowska 16A, 72-010 Police, Polen;53.55157999999999;14.537928;
41408;Brokweg 86;48249;Dülmen;Deutschland;Brokweg 86, 48249 Dülmen, Deutschland;51.8253776;7.268892099999999;
41409;Ludwigsstädter Straße 95 + 97;96342;Stockheim;Deutschland;Ludwigsstädter Straße 95 + 97, 96342 Stockheim, Deutschland;50.3260719;11.2843159;
41410;Auf dem Daubmann 2;75045;Walzbachtal;Deutschland;Auf dem Daubmann 2, 75045 Walzbachtal, Deutschland;49.0293681;8.5854035;
41411;Im Industriegebiet 29;33775;Versmold;Deutschland;Im Industriegebiet 29, 33775 Versmold, Deutschland;52.05365;8.14083;
41412;Rapsacker 7;23556;Lübeck;Deutschland;Rapsacker 7, 23556 Lübeck, Deutschland;53.8681262;10.6327791;
41413;Rennsteigstraße 5;98724;Lauscha, OT Ernstthal;Deutschland;Rennsteigstraße 5, 98724 Lauscha, OT Ernstthal, Deutschland;50.4957122;11.1672498;
41414;Loisnitz 15;93158;Teublitz;Deutschland;Loisnitz 15, 93158 Teublitz, Deutschland;49.2453653;12.132925;
41415;Kaltes Feld 13;08468;Heinsdorfergrund;Deutschland;Kaltes Feld 13, 08468 Heinsdorfergrund, Deutschland;50.6017449;12.3278282;
41416;Gebrüder- Helfmann- Str. 13;04824;Beucha;Deutschland;Gebrüder- Helfmann- Str. 13, 04824 Beucha, Deutschland;51.33248;12.57711;
41417;Kalixtenbergstrasse 66;73235;Weilheim-Teck;Deutschland;Kalixtenbergstrasse 66, 73235 Weilheim-Teck, Deutschland;48.62415;9.52761;
41418;Alte Neckarelzer Str. 24;74821;Mosbach;Deutschland;Alte Neckarelzer Str. 24, 74821 Mosbach, Deutschland;49.3436529;9.126126;
41419;Am Bengst 2;59519;Möhnesee;Deutschland;Am Bengst 2, 59519 Möhnesee, Deutschland;51.48878;8.0465;
41420;Gewerbepark Merzdorfer Weg;03042;Cottbus;Deutschland;Gewerbepark Merzdorfer Weg, 03042 Cottbus, Deutschland;51.7709671;14.3728618;
41421;Kolpingstr. 3;48480;Schapen;Deutschland;Kolpingstr. 3, 48480 Schapen, Deutschland;52.39937;7.56363;
41422;Ellinger Weg 11;51597;Morsbach;Deutschland;Ellinger Weg 11, 51597 Morsbach, Deutschland;50.8740598;7.725494500000001;
41423;Schillerstraße 15;59581;Warstein;Deutschland;Schillerstraße 15, 59581 Warstein, Deutschland;51.4542066;8.3467871;
41424;Handelsweg 3 A;42897;Remscheid;Deutschland;Handelsweg 3 A, 42897 Remscheid, Deutschland;51.17727000000001;7.247280000000001;
41425;Reisholzer Bahnhofstr. 41;40599;Düsseldorf;Deutschland;Reisholzer Bahnhofstr. 41, 40599 Düsseldorf, Deutschland;51.329781;6.7826736;
41426;Zementstr. 128;59269;Beckum;Deutschland;Zementstr. 128, 59269 Beckum, Deutschland;51.759907;8.059836800000001;
41427;Turmstraße 50;23843;Bad Oldesloe;Deutschland;Turmstraße 50, 23843 Bad Oldesloe, Deutschland;53.8037381;10.3815984;
41428;Laubenhof 6 A;49078;Osnabrück;Deutschland;Laubenhof 6 A, 49078 Osnabrück, Deutschland;52.26505;7.98453;
41429;Arensdorfer Weg 3;06366;Köthen;Deutschland;Arensdorfer Weg 3, 06366 Köthen, Deutschland;51.73772;12.0061499;
41430;Sandortstraße 66;33775;Versmold;Deutschland;Sandortstraße 66, 33775 Versmold, Deutschland;52.0317126;8.1205689;
41431;Bataverstr. 15;47750;Krefeld;Deutschland;Bataverstr. 15, 47750 Krefeld, Deutschland;51.3384312;6.682314799999999;
41432;Raudtener Str.12-14;90475;Nürnberg;Deutschland;Raudtener Str.12-14, 90475 Nürnberg, Deutschland;49.41285000000001;11.16451;
41433;Lise-Meitner-St. 10;40721;Hilden;Deutschland;Lise-Meitner-St. 10, 40721 Hilden, Deutschland;51.1676;6.90778;
41434;Mauserstr. 3;70469;Stuttgart;Deutschland;Mauserstr. 3, 70469 Stuttgart, Deutschland;48.8186039;9.1731508;
41435;Gewerbegebiet Süd 16;09405;Gornau;Deutschland;Gewerbegebiet Süd 16, 09405 Gornau, Deutschland;50.7547542;13.0306609;
41436;Stadtberg 154;37308;Heuthen;Deutschland;Stadtberg 154, 37308 Heuthen, Deutschland;51.3341461;10.2218443;
41437;Schwabacher Str. 13;01665;Klipphausen;Deutschland;Schwabacher Str. 13, 01665 Klipphausen, Deutschland;51.069191;13.5131327;
41438;Herrenalber Straße 74;75334;Straubenhardt 5;Deutschland;Herrenalber Straße 74, 75334 Straubenhardt 5, Deutschland;48.84376270000001;8.522834699999999;
41439;Plesivec 38;3320;Velenje;Slowenien;Plesivec 38, 3320 Velenje, Slowenien;46.4088406;15.1043519;
41440;Friedrichstr. 130 C;10117;Berlin;Deutschland;Friedrichstr. 130 C, 10117 Berlin, Deutschland;52.5241744;13.3872902;
41441;ul. Kwiatowa;62-032;Lubon;Polen;ul. Kwiatowa, 62-032 Lubon, Polen;52.3217866;16.8725814;
41442;Am Eckfeld 12;83543;Rott am Inn;Deutschland;Am Eckfeld 12, 83543 Rott am Inn, Deutschland;47.9881439;12.1372883;
41443;Porgesring 11;22113;Hamburg;Deutschland;Porgesring 11, 22113 Hamburg, Deutschland;53.5228554;10.0962079;
41444;Alter Weg 8;54550;Daun;Deutschland;Alter Weg 8, 54550 Daun, Deutschland;50.20283;6.82911;
41445;Am Fuchsgraben 2-3;77880;Sasbach;Deutschland;Am Fuchsgraben 2-3, 77880 Sasbach, Deutschland;48.65008;8.078821699999999;
41446;Zörbiger Str. 9;06188;Landsberg;Deutschland;Zörbiger Str. 9, 06188 Landsberg, Deutschland;51.53679;12.1570999;
41447;Dieselstr. 7-11;89079;Ulm - Donautal;Deutschland;Dieselstr. 7-11, 89079 Ulm - Donautal, Deutschland;48.35997;9.94515;
41448;Zur Helle 30;58613;Iserlohn;Deutschland;Zur Helle 30, 58613 Iserlohn, Deutschland;51.3811;7.669449999999999;
41449;Im Bruch 9;57635;Weyerbusch;Deutschland;Im Bruch 9, 57635 Weyerbusch, Deutschland;50.71624;7.561240000000001;
41450;Heideweg 36;33397;Rietberg;Deutschland;Heideweg 36, 33397 Rietberg, Deutschland;51.81243;8.360389999999999;
41451;Alsfelder Straße 24;34626;Neukirchen;Deutschland;Alsfelder Straße 24, 34626 Neukirchen, Deutschland;50.876881;9.3019245;
41452;Stehfenstrasse 63;59439;Holzwickede;Deutschland;Stehfenstrasse 63, 59439 Holzwickede, Deutschland;51.5092189;7.6272637;
41453;Industriestraße 50;33161;Hövelhof;Deutschland;Industriestraße 50, 33161 Hövelhof, Deutschland;51.8301452;8.653158;
41454;Ipsheimer Straße 19;90431;Nürnberg;Deutschland;Ipsheimer Straße 19, 90431 Nürnberg, Deutschland;49.44640039999999;11.017828;
41455;Zellerwiesen 1;86956;Schongau;Deutschland;Zellerwiesen 1, 86956 Schongau, Deutschland;47.7996436;10.8589207;
41456;Lerchenweg 40;18311;Ribnitz-Damgarten;Deutschland;Lerchenweg 40, 18311 Ribnitz-Damgarten, Deutschland;54.260321;12.4787658;
41457;Alte Drift 1;27305;Bruchhausen-Vilsen;Deutschland;Alte Drift 1, 27305 Bruchhausen-Vilsen, Deutschland;52.81921;8.99855;
41458;Houtsnipweg 3;4791;Klundert;Niederlande;Houtsnipweg 3, 4791 Klundert, Niederlande;51.6748558;4.5482209;
41459;Essener Str. 18;57234;Wilnsdorf;Deutschland;Essener Str. 18, 57234 Wilnsdorf, Deutschland;50.8239116;8.0791534;
41460;Ranfelser Straße 6-11;94579;Zenting;Deutschland;Ranfelser Straße 6-11, 94579 Zenting, Deutschland;48.7907568;13.2584088;
41461;Pfaffenhofener Straße 37;84072;Au-Hallertau;Deutschland;Pfaffenhofener Straße 37, 84072 Au-Hallertau, Deutschland;48.5552788;11.7347261;
41462;Sälzerweg 3a;59494;Soest;Deutschland;Sälzerweg 3a, 59494 Soest, Deutschland;51.55705;8.14836;
41463;Landweg 6;32339;Espelkamp;Deutschland;Landweg 6, 32339 Espelkamp, Deutschland;52.347157;8.56822;
41464;Dorfstraße 15a;08451;Crimmitschau;Deutschland;Dorfstraße 15a, 08451 Crimmitschau, Deutschland;50.845253;12.3753499;
41465;Höfeweg 52;33619;Bielefeld;Deutschland;Höfeweg 52, 33619 Bielefeld, Deutschland;52.05265;8.46547;
41466;Grüssenweg 4;4133;Pratteln;Schweiz;Grüssenweg 4, 4133 Pratteln, Schweiz;47.5265527;7.690687499999999;
41467;Telefunkenstraße 14;4840;Vöcklabruck;Österreich;Telefunkenstraße 14, 4840 Vöcklabruck, Österreich;48.0025518;13.6746265;
41468;Niedere Heide 3;31749;Auetal- Rehren;Deutschland;Niedere Heide 3, 31749 Auetal- Rehren, Deutschland;52.23686559999999;9.244182799999999;
41469;Sulzdorfer Strasse 7;96484;Meeder;Deutschland;Sulzdorfer Strasse 7, 96484 Meeder, Deutschland;50.302;10.91597;
41470;Daimlerstr. 21a;70825;Korntal-Münchingen;Deutschland;Daimlerstr. 21a, 70825 Korntal-Münchingen, Deutschland;48.8477;9.13203;
41471;Na Luhách 12;40001;Ústi nad Labem;Tschechische Republik;Na Luhách 12, 40001 Ústi nad Labem, Tschechische Republik;50.6583614;14.0064924;
41472;Déli Kühlhatár út 12;3200;Gyöngyös;Ungarn;Déli Kühlhatár út 12, 3200 Gyöngyös, Ungarn;47.7637487;19.917703;
41473;Hoope Nr. 4;27251;Neuenkirchen;Deutschland;Hoope Nr. 4, 27251 Neuenkirchen, Deutschland;52.76429;8.7674501;
41474;Arster Heerstr. 10c;28279;Bremen;Deutschland;Arster Heerstr. 10c, 28279 Bremen, Deutschland;53.0322492;8.845579899999999;
41475;Am Brand 1;07580;Rückersdorf;Deutschland;Am Brand 1, 07580 Rückersdorf, Deutschland;50.82163;12.22135;
41476;In den Bühwiesen 7;37431;Bad Lauterberg;Deutschland;In den Bühwiesen 7, 37431 Bad Lauterberg, Deutschland;51.62104000000001;10.4093299;
41477;Zum Plom 23;08541;Neuensalz;Deutschland;Zum Plom 23, 08541 Neuensalz, Deutschland;50.50973;12.20784;
41478;Kirschweg 11B;16303;Schwedt;Deutschland;Kirschweg 11B, 16303 Schwedt, Deutschland;53.0635154;14.2480257;
41479;Calwer Straße 65-69;73389;Neuweiler;Deutschland;Calwer Straße 65-69, 73389 Neuweiler, Deutschland;48.66506649999999;8.603225799999999;
41480;Marzahner Str. 21;13053;Berlin;Deutschland;Marzahner Str. 21, 13053 Berlin, Deutschland;52.5469196;13.5211006;
41481;Johann-Sebastian-Bach-Str. 22;92637;Weiden;Deutschland;Johann-Sebastian-Bach-Str. 22, 92637 Weiden, Deutschland;49.6933179;12.1739427;
41482;Mühlheimer Straße 15;90451;Nürnberg;Deutschland;Mühlheimer Straße 15, 90451 Nürnberg, Deutschland;49.4006251;11.0496745;
41483;Wittenberg 14;88099;Neukirch;Deutschland;Wittenberg 14, 88099 Neukirch, Deutschland;47.64502359999999;9.6779171;
41484;Stahlstraße 50;33415;Verl;Deutschland;Stahlstraße 50, 33415 Verl, Deutschland;51.8739;8.456019999999999;
41485;Uferweg 12;74238;Krautheim-Altkrautheim;Deutschland;Uferweg 12, 74238 Krautheim-Altkrautheim, Deutschland;49.38137;9.6392501;
41486;Ostermoorstr. 143;26683;Saterland;Deutschland;Ostermoorstr. 143, 26683 Saterland, Deutschland;53.1068152;7.695300699999999;
41487;Fontaneweg 15;32120;Hiddenhausen;Deutschland;Fontaneweg 15, 32120 Hiddenhausen, Deutschland;52.1475501;8.637532300000002;
41488;Rotenhäuser Str. 14;21109;Hamburg;Deutschland;Rotenhäuser Str. 14, 21109 Hamburg, Deutschland;53.5051411;10.0010356;
41489;Wiesenweg 17-19;53474;Bad Neuenahr-Ahrweiler;Deutschland;Wiesenweg 17-19, 53474 Bad Neuenahr-Ahrweiler, Deutschland;50.54593999999999;7.17285;
41490;Oberheisinger Str. 3;93073;Neutraubling;Deutschland;Oberheisinger Str. 3, 93073 Neutraubling, Deutschland;48.9925712;12.2177367;
41491;Auf dem Kämpen 2;59071;Hamm;Deutschland;Auf dem Kämpen 2, 59071 Hamm, Deutschland;51.6903814;7.949888100000001;
41492;An der Raute 49;59590;Geseke;Deutschland;An der Raute 49, 59590 Geseke, Deutschland;51.67914829999999;8.4440249;
41493;Ziegelheider Str. 30;47906;Kempen;Deutschland;Ziegelheider Str. 30, 47906 Kempen, Deutschland;51.3753708;6.3734381;
41494;Schönburgstraße 17;01108;Dresden;Deutschland;Schönburgstraße 17, 01108 Dresden, Deutschland;51.148356;13.805791;
41495;ul. Bystra 7;61-366;Poznan;Polen;ul. Bystra 7, 61-366 Poznan, Polen;52.3703595;16.9363241;
41496;Mauerhecke 2;97539;Wonfurt;Deutschland;Mauerhecke 2, 97539 Wonfurt, Deutschland;50.0167453;10.4730016;
41497;Bernbeurener Str. 14;86956;Schongau;Deutschland;Bernbeurener Str. 14, 86956 Schongau, Deutschland;47.812304;10.876915;
41498;Roßfelder Str. 47;74564;Crailsheim;Deutschland;Roßfelder Str. 47, 74564 Crailsheim, Deutschland;49.1279672;10.0411035;
41499;Margarete-Steiff-Straße 2;73457;Essingen;Deutschland;Margarete-Steiff-Straße 2, 73457 Essingen, Deutschland;48.8232377;10.0535428;
41500;Hitdorfer Str. 55;51371;Leverkusen;Deutschland;Hitdorfer Str. 55, 51371 Leverkusen, Deutschland;51.0540923;6.934394699999999;
41501;Römerstrasse 4;85375;Neufahrn;Deutschland;Römerstrasse 4, 85375 Neufahrn, Deutschland;48.3292251;11.6880297;
41502;Karower Straße 25;39307;Genthin;Deutschland;Karower Straße 25, 39307 Genthin, Deutschland;52.4014699;12.1766356;
41503;An der Babe 2;04509;Wiedemar / OT Zwoschau;Deutschland;An der Babe 2, 04509 Wiedemar / OT Zwoschau, Deutschland;51.46301;12.25213;
41504;Mittelweg 1;39179;Barleben / OT Meitzendorf;Deutschland;Mittelweg 1, 39179 Barleben / OT Meitzendorf, Deutschland;52.20818;11.5587601;
41505;Max-Planck-Str. 28;27283;Verden / Aller;Deutschland;Max-Planck-Str. 28, 27283 Verden / Aller, Deutschland;52.91274;9.267629999999999;
41506;Altonaer Straße;25436;Tornesch;Deutschland;Altonaer Straße, 25436 Tornesch, Deutschland;53.6937723;9.723023699999999;
41507;Marktstr. 1;78479;Insel Reichenau;Deutschland;Marktstr. 1, 78479 Insel Reichenau, Deutschland;47.69224;9.07399;
41508;Bayernstr. 46;30855;Langenhagen;Deutschland;Bayernstr. 46, 30855 Langenhagen, Deutschland;52.444367;9.691599300000002;
41509;Am Oberwald 9;76744;Wörth;Deutschland;Am Oberwald 9, 76744 Wörth, Deutschland;49.07172;8.29532;
41510;Kappeler Str. 51;40589;Düsseldorf;Deutschland;Kappeler Str. 51, 40589 Düsseldorf, Deutschland;51.1658706;6.8597427;
41511;Daimlerstr. 8;74336;Brackenheim- Meimsheim;Deutschland;Daimlerstr. 8, 74336 Brackenheim- Meimsheim, Deutschland;49.06398;9.081579999999999;
41512;Straße der Bergarbeiter 3;06132;Hale;Deutschland;Straße der Bergarbeiter 3, 06132 Hale, Deutschland;51.4218377;12.0100614;
41513;Windmühlenweg 27;59494;Soest;Deutschland;Windmühlenweg 27, 59494 Soest, Deutschland;51.5642888;8.114817;
41514;Im Baumfeld 29;55237;Flonheim;Deutschland;Im Baumfeld 29, 55237 Flonheim, Deutschland;49.7846266;8.044834999999999;
41515;Schwarzwaldstr. 17;78652;Deisslingen;Deutschland;Schwarzwaldstr. 17, 78652 Deisslingen, Deutschland;48.1052891;8.5976166;
41516;Benninghauser Str. 5a;59329;Wadersloh-Liesborn;Deutschland;Benninghauser Str. 5a, 59329 Wadersloh-Liesborn, Deutschland;51.6949365;8.2485105;
41517;Ludwig-Erhard-Str. 100;74564;Crailsheim;Deutschland;Ludwig-Erhard-Str. 100, 74564 Crailsheim, Deutschland;49.1354046;10.0435881;
41518;Azaleenstraße 27;26639;Wiesmoor;Deutschland;Azaleenstraße 27, 26639 Wiesmoor, Deutschland;53.37491;7.73441;
41519;Sieningser Weg 1;59505;Bad Sassendorf;Deutschland;Sieningser Weg 1, 59505 Bad Sassendorf, Deutschland;51.61068400000001;8.156182099999999;
41520;Göddern 6;27251;Neuenkirchen;Deutschland;Göddern 6, 27251 Neuenkirchen, Deutschland;52.77961;8.710149999999999;
41521;Otto-Müller-Straße 2;09217;Burgstädt;Deutschland;Otto-Müller-Straße 2, 09217 Burgstädt, Deutschland;50.8966514;12.8168144;
41522;Dieselstraße 3;32584;Löhne;Deutschland;Dieselstraße 3, 32584 Löhne, Deutschland;52.1745296;8.6735382;
41523;Am Güterbahnhof 46;35683;Dillenburg;Deutschland;Am Güterbahnhof 46, 35683 Dillenburg, Deutschland;50.72992430000001;8.293929;
41524;Etzenrichter Str. 14;92729;Weiherhammer;Deutschland;Etzenrichter Str. 14, 92729 Weiherhammer, Deutschland;49.6251;12.07795;
41525;Karl-Wüst-Str. 29;74076;Heilbronn;Deutschland;Karl-Wüst-Str. 29, 74076 Heilbronn, Deutschland;49.16934999999999;9.21849;
41526;Stieglitzstr. 8;30855;Langenhagen;Deutschland;Stieglitzstr. 8, 30855 Langenhagen, Deutschland;52.4365832;9.7129167;
41527;Am Gewerbering 4;27243;Prinzhöfte;Deutschland;Am Gewerbering 4, 27243 Prinzhöfte, Deutschland;52.9352436;8.4735702;
41528;Gauchachstr. 39;78199;Döggingen;Deutschland;Gauchachstr. 39, 78199 Döggingen, Deutschland;47.8883281;8.4378459;
41529;Scheffelstraße 11;68776;Brühl;Deutschland;Scheffelstraße 11, 68776 Brühl, Deutschland;49.4142725;8.5237708;
41530;Am Rehmengraben 8;31582;Nienburg;Deutschland;Am Rehmengraben 8, 31582 Nienburg, Deutschland;52.6214361;9.2361659;
41531;Tempelhofer Weg 38 - 42;12347;Berlin;Deutschland;Tempelhofer Weg 38 - 42, 12347 Berlin, Deutschland;52.45552;13.42808;
41532;Sehensander Weg 17;86633;Neuburg;Deutschland;Sehensander Weg 17, 86633 Neuburg, Deutschland;48.72784;11.17221;
41533;Maybachstrasse 4;89233;Neu-Ulm - Burlafingen;Deutschland;Maybachstrasse 4, 89233 Neu-Ulm - Burlafingen, Deutschland;48.421822;10.065905;
41534;In den Jockelsäckern 2;63543;Neuberg;Deutschland;In den Jockelsäckern 2, 63543 Neuberg, Deutschland;50.18545;9.00035;
41535;Gerbestr. 8;68535;Edingen;Deutschland;Gerbestr. 8, 68535 Edingen, Deutschland;49.4550966;8.5970737;
41536;Ludwig - Meyn - Str. 7;25469;Halstenbek;Deutschland;Ludwig - Meyn - Str. 7, 25469 Halstenbek, Deutschland;53.63109;9.85502;
41537;Logistikpark 1;4063;Hörsching;Österreich;Logistikpark 1, 4063 Hörsching, Österreich;48.2028338;14.1628761;
41538;Heinrich-Horten-Str. 8D;47906;Kempen;Deutschland;Heinrich-Horten-Str. 8D, 47906 Kempen, Deutschland;51.3657323;6.4402322;
41539;Webersteig 2-6;09471;Bärenstein;Deutschland;Webersteig 2-6, 09471 Bärenstein, Deutschland;50.49807;13.02965;
41540;Auf dem Fass 8;34281;Gudensberg;Deutschland;Auf dem Fass 8, 34281 Gudensberg, Deutschland;51.17961;9.361839999999999;
41541;Erdkamp 1;38110;Braunschweig;Deutschland;Erdkamp 1, 38110 Braunschweig, Deutschland;52.3272515;10.5622154;
41542;Weststr. 4 -6;09212;Limbach-Oberfrohna;Deutschland;Weststr. 4 -6, 09212 Limbach-Oberfrohna, Deutschland;50.8579625;12.7637108;
41543;Heinkelstraße 11;30827;Garbsen;Deutschland;Heinkelstraße 11, 30827 Garbsen, Deutschland;52.44327999999999;9.613349999999999;
41544;OT Audenhain Am Schwarzen Graben 134;04862;Mockrehna;Deutschland;OT Audenhain Am Schwarzen Graben 134, 04862 Mockrehna, Deutschland;51.50422589999999;12.8604235;
41545;Hafenstraße 280;45356;Essen;Deutschland;Hafenstraße 280, 45356 Essen, Deutschland;51.501496;6.982617299999999;
41546;Rudolf-Diesel-Straße 31-33;27243;Groß Ippener;Deutschland;Rudolf-Diesel-Straße 31-33, 27243 Groß Ippener, Deutschland;52.97622;8.62152;
41547;Bürdestraße 25;41334;Nettetal;Deutschland;Bürdestraße 25, 41334 Nettetal, Deutschland;51.31929;6.17875;
41548;Warmersdorf 40;96193;Wachenroth;Deutschland;Warmersdorf 40, 96193 Wachenroth, Deutschland;49.7254421;10.6862214;
41549;Hauptstraße 24b;90596;Schwanstetten;Deutschland;Hauptstraße 24b, 90596 Schwanstetten, Deutschland;49.3244768;11.1229776;
41550;Gewerbehof Neubeeren;14979;Großbeeren;Deutschland;Gewerbehof Neubeeren, 14979 Großbeeren, Deutschland;52.3484406;13.2718066;
41551;Europastr. 81;24941;Jarplund;Deutschland;Europastr. 81, 24941 Jarplund, Deutschland;54.74083;9.4408099;
41552;Schleyer Str. 4;36041;Fulda;Deutschland;Schleyer Str. 4, 36041 Fulda, Deutschland;50.5579322;9.5964064;
